# 1D z+ on top wall (simple), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 26.Re10595_j257_toptauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on top wall (simple)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "d_n" "z_plus"
ZONE T="top_zplus_1d_simple", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  52 1.862011383000000e+00 3.035713191000000e+00 3.115645663285038e-03 5.581796900000069e-02 1.247538500000012e-02 7.377835170580684e+00
  53 1.884618154000000e+00 3.035713191000000e+00 3.099326489230978e-03 5.567159499449408e-02 1.255714799999996e-02 7.406715069775634e+00
  54 1.906651450000000e+00 3.035713191000000e+00 3.083549183513783e-03 5.552971441952302e-02 1.263515700000006e-02 7.433734461172633e+00
  55 1.928146716000000e+00 3.035713191000000e+00 3.068321674125352e-03 5.539243336526526e-02 1.270907600000015e-02 7.458738508692144e+00
  56 1.949053765000000e+00 3.035713191000000e+00 3.053651927763551e-03 5.525985819528993e-02 1.277862700000032e-02 7.481607503495768e+00
  57 1.969480273000000e+00 3.035713191000000e+00 3.039488397537842e-03 5.513155537020375e-02 1.284373299999997e-02 7.502266281840632e+00
  58 1.989566440000000e+00 3.035713191000000e+00 3.025742797439715e-03 5.500675228951183e-02 1.290435200000006e-02 7.520611703089499e+00
  59 2.009354036000000e+00 3.035713191000000e+00 3.012404270642358e-03 5.488537392277070e-02 1.296033600000035e-02 7.536571943324891e+00
  60 2.028863723000000e+00 3.035713191000000e+00 2.999454235446924e-03 5.476727339796024e-02 1.301151899999997e-02 7.550054407903000e+00
  61 2.048142440000000e+00 3.035713191000000e+00 2.986865529536923e-03 5.465222346379810e-02 1.305775500000017e-02 7.560966471751706e+00
  62 2.067320300000000e+00 3.035713191000000e+00 2.974563492361490e-03 5.453955896742740e-02 1.309897100000024e-02 7.569196212925288e+00
  63 2.086450623000000e+00 3.035713191000000e+00 2.962539383325176e-03 5.442921442869790e-02 1.313501399999994e-02 7.574667388949777e+00
  64 2.105588509000000e+00 3.035713191000000e+00 2.950734959974787e-03 5.432066788962363e-02 1.316573300000012e-02 7.577241087005446e+00
