# 1D z+ on bottom wall (n-projection), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 25.Re10595_j257_bottomtauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on bottom wall (n-projection)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "dy_step" "dz_step" "n_y" "n_z" "d_n_proj" "z_plus_proj"
ZONE T="bottom_zplus_1d_n-projection", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  35 8.812284852000000e-01 5.414610666000000e-01 1.861146309529058e-04 1.364238362431235e-02 8.608796099999982e-03 1.087408779999999e-02 6.234992279582899e-01 7.818239653115122e-01 1.386920016494185e-02 2.004668816906574e+00
  36 9.086960703000000e-01 5.196399846999999e-01 1.968192968695306e-04 1.402923008826680e-02 8.614269299999977e-03 1.096922020000002e-02 6.206129172641685e-01 7.841170875098045e-01 1.394727979584988e-02 2.073119384044169e+00
  37 9.363517508000000e-01 4.978266235000000e-01 2.098015023331334e-04 1.448452630682596e-02 8.630673900000052e-03 1.106431879999997e-02 6.180278875334925e-01 7.861561741987967e-01 1.403227969633128e-02 2.153443544084221e+00
  38 9.641923819000000e-01 4.760059041000000e-01 2.253124097995968e-04 1.501041004768347e-02 8.663258899999970e-03 1.115944980000000e-02 6.157893549368257e-01 7.879108263924846e-01 1.412739392368514e-02 2.246754252537960e+00
  39 9.922512458000000e-01 4.541319904000000e-01 2.429005179918729e-04 1.558526605457452e-02 8.692308199999998e-03 1.125481260000000e-02 6.139117378050631e-01 7.893746754141328e-01 1.422057407557109e-02 2.348185005263459e+00
  40 1.020525628000000e+00 4.321875300000000e-01 2.616097296291479e-04 1.617435407146597e-02 8.721136999999990e-03 1.135048290000001e-02 6.124064512615948e-01 7.905430655272235e-01 1.431392610811653e-02 2.452938603124936e+00
  41 1.048988496000000e+00 4.101718846000000e-01 2.803326400308966e-04 1.674313710243384e-02 8.763478999999963e-03 1.144646400000005e-02 6.113098459487583e-01 7.913913521426081e-01 1.441583361967688e-02 2.557275723251625e+00
  42 1.077635436000000e+00 3.880697171000000e-01 2.979168324109628e-04 1.726026744899866e-02 8.814638000000041e-03 1.154282179999999e-02 6.104097686240346e-01 7.920857998779883e-01 1.452344638038672e-02 2.655939436506630e+00
  43 1.106497987000000e+00 3.658654750000000e-01 3.139202393054168e-04 1.771779442553211e-02 8.844799000000014e-03 1.163962460000001e-02 6.088722149508727e-01 7.932683189569707e-01 1.461869779765748e-02 2.744222417475728e+00
  44 1.135591209000000e+00 3.436105502000000e-01 3.292836626825194e-04 1.814617487743683e-02 8.836805000000059e-03 1.173664840000005e-02 6.060672312678018e-01 7.954134215509447e-01 1.469118560098796e-02 2.824508580452178e+00
  45 1.164875884000000e+00 3.214103095000000e-01 3.439371091940835e-04 1.854554149099140e-02 8.815306000000023e-03 1.183343390000002e-02 6.019403929141326e-01 7.985410217254838e-01 1.475577115432532e-02 2.899361652614740e+00
  46 1.194365169000000e+00 2.993336325000000e-01 3.579227882684420e-04 1.891884743499038e-02 8.763837000000052e-03 1.192968059999999e-02 5.964183309513910e-01 8.026737659255827e-01 1.480255468976143e-02 2.967100866162080e+00
  47 1.224073332000000e+00 2.774525742000000e-01 3.710956285144221e-04 1.926384251686102e-02 8.671198000000047e-03 1.202507449999995e-02 5.893917149691114e-01 8.078473904926412e-01 1.482515731536132e-02 3.025820708115538e+00
  48 1.253994972000000e+00 2.558578696000000e-01 3.826548015640541e-04 1.956156439459927e-02 8.544845999999939e-03 1.211922009999999e-02 5.807653825466425e-01 8.140709861157392e-01 1.482845621375280e-02 3.073268352631414e+00
  49 1.284124853000000e+00 2.346417806000000e-01 3.935387714626234e-04 1.983781166012581e-02 8.383712999999959e-03 1.221171500000001e-02 5.703939154519961e-01 8.213712809779394e-01 1.481237087658330e-02 3.113288025991229e+00
  50 1.314478792000000e+00 2.138879079000000e-01 4.022571655903836e-04 2.005634975738067e-02 8.180737999999854e-03 1.230219489999998e-02 5.580749344688519e-01 8.297905564162482e-01 1.477370997446888e-02 3.139369427825433e+00
  51 1.345071857000000e+00 1.936844394000000e-01 4.065543663032402e-04 2.016319335579660e-02 7.925567000000022e-03 1.239027500000001e-02 5.436908399111607e-01 8.392855715408771e-01 1.470803721392584e-02 3.142063776232426e+00
  52 1.375854229000000e+00 1.741622338000000e-01 4.052951351208552e-04 2.013194315312994e-02 7.646752000000090e-03 1.247538519999999e-02 5.270340781376697e-01 8.498441507015135e-01 1.463223203103566e-02 3.121024916276237e+00
  53 1.406852354000000e+00 1.554078771000000e-01 3.974210553513447e-04 1.993542212623913e-02 7.327996999999975e-03 1.255714769999999e-02 5.077278672986988e-01 8.615175057816962e-01 1.453883085461761e-02 3.070830752621651e+00
  54 1.438095837000000e+00 1.375144317000000e-01 3.836592993330749e-04 1.958722285912617e-02 6.963285999999957e-03 1.263515710000002e-02 4.857795849371059e-01 8.740813433876353e-01 1.442677727476017e-02 2.993940414660769e+00
